group,entity_count,entity_ids,method,mean_pinball,crps,weighted_interval_score,coverage_0.9,interval_width_0.9,energy_score,variogram_score,valid_origin_lead_count,dropped_origin_lead_count,best_epoch,best_validation_nll
wind_park,5,"[""wind_park::Within Stadsregio Arnhem Nijmegen_normalized"", ""wind_park::Within 15 kilometers of Opmeer_normalized"", ""wind_park::Within 20 kilometers of Leeuwarden_normalized"", ""wind_park::Within 15 kilometers of Alphen aan den Rijn_normalized"", ""wind_park::Within 15 kilometers of Dronten_normalized""]",conditional_low_rank,0.2061184197664261,0.515740692615509,1.6031434535980225,0.8969087600708008,2.6567435264587402,0.3204798400402069,0.4707888960838318,6664,56,1,-1.301870170936099
wind_park,5,"[""wind_park::Within Stadsregio Arnhem Nijmegen_normalized"", ""wind_park::Within 15 kilometers of Opmeer_normalized"", ""wind_park::Within 20 kilometers of Leeuwarden_normalized"", ""wind_park::Within 15 kilometers of Alphen aan den Rijn_normalized"", ""wind_park::Within 15 kilometers of Dronten_normalized""]",set_aware_low_rank,0.2061980664730072,0.5167336463928223,1.6037628650665283,0.9033613204956055,2.7380993366241455,0.32067936658859253,0.4527924954891205,6664,56,2,-1.224075819860274
mv_feeder,15,"[""mv_feeder::OS Naarden"", ""mv_feeder::OS Leiden Noord"", ""mv_feeder::SS Harlingen"", ""mv_feeder::OS Eibergen"", ""mv_feeder::OS Sneek"", ""mv_feeder::OS Weesp"", ""mv_feeder::SS Ureterp"", ""mv_feeder::OS Gorredijk"", ""mv_feeder::OS Sassenheim"", ""mv_feeder::OS Waarderpolder"", ""mv_feeder::OS Edam"", ""mv_feeder::OS Watergraafsmeer"", ""mv_feeder::RS Angerlo"", ""mv_feeder::SS Heerenveen Pim Mulier"", ""mv_feeder::RS Roodwilligen (Duiven)""]",independent,459843.59375,1061437.25,3576561.5,0.6341578960418701,2713431.25,527885.5625,2456799.5,6347,373,,
mv_feeder,15,"[""mv_feeder::OS Naarden"", ""mv_feeder::OS Leiden Noord"", ""mv_feeder::SS Harlingen"", ""mv_feeder::OS Eibergen"", ""mv_feeder::OS Sneek"", ""mv_feeder::OS Weesp"", ""mv_feeder::SS Ureterp"", ""mv_feeder::OS Gorredijk"", ""mv_feeder::OS Sassenheim"", ""mv_feeder::OS Waarderpolder"", ""mv_feeder::OS Edam"", ""mv_feeder::OS Watergraafsmeer"", ""mv_feeder::RS Angerlo"", ""mv_feeder::SS Heerenveen Pim Mulier"", ""mv_feeder::RS Roodwilligen (Duiven)""]",static_gaussian,392177.125,973778.1875,3050266.75,0.8927052021026611,5173175.5,522559.03125,2394686.75,6347,373,,
mv_feeder,15,"[""mv_feeder::OS Naarden"", ""mv_feeder::OS Leiden Noord"", ""mv_feeder::SS Harlingen"", ""mv_feeder::OS Eibergen"", ""mv_feeder::OS Sneek"", ""mv_feeder::OS Weesp"", ""mv_feeder::SS Ureterp"", ""mv_feeder::OS Gorredijk"", ""mv_feeder::OS Sassenheim"", ""mv_feeder::OS Waarderpolder"", ""mv_feeder::OS Edam"", ""mv_feeder::OS Watergraafsmeer"", ""mv_feeder::RS Angerlo"", ""mv_feeder::SS Heerenveen Pim Mulier"", ""mv_feeder::RS Roodwilligen (Duiven)""]",conditional_low_rank,396026.625,979621.0625,3080207.25,0.9450134038925171,6425532.0,521631.375,2372435.25,6347,373,1,-2.7108355355105433
mv_feeder,15,"[""mv_feeder::OS Naarden"", ""mv_feeder::OS Leiden Noord"", ""mv_feeder::SS Harlingen"", ""mv_feeder::OS Eibergen"", ""mv_feeder::OS Sneek"", ""mv_feeder::OS Weesp"", ""mv_feeder::SS Ureterp"", ""mv_feeder::OS Gorredijk"", ""mv_feeder::OS Sassenheim"", ""mv_feeder::OS Waarderpolder"", ""mv_feeder::OS Edam"", ""mv_feeder::OS Watergraafsmeer"", ""mv_feeder::RS Angerlo"", ""mv_feeder::SS Heerenveen Pim Mulier"", ""mv_feeder::RS Roodwilligen (Duiven)""]",set_aware_low_rank,397109.03125,980955.4375,3088625.75,0.9464313983917236,6508360.0,521691.0,2371453.25,6347,373,2,-2.6997496902978413
station_installation,15,"[""station_installation::OS Apeldoorn"", ""station_installation::RS Hallum"", ""station_installation::OS Almere"", ""station_installation::SS Stiens"", ""station_installation::OS Herbayum"", ""station_installation::OS Westhaven"", ""station_installation::OS Zevenhuizen"", ""station_installation::RS Anklaar"", ""station_installation::SS Noordwolde"", ""station_installation::OS Zevenaar"", ""station_installation::OS Bergum"", ""station_installation::OS Texel"", ""station_installation::RS Waskemeer"", ""station_installation::RS Wamel"", ""station_installation::OS Drachten""]",independent,5860416.5,13977899.0,45581016.0,0.7191535830497742,47225272.0,9127623.0,42893504.0,6427,293,,
station_installation,15,"[""station_installation::OS Apeldoorn"", ""station_installation::RS Hallum"", ""station_installation::OS Almere"", ""station_installation::SS Stiens"", ""station_installation::OS Herbayum"", ""station_installation::OS Westhaven"", ""station_installation::OS Zevenhuizen"", ""station_installation::RS Anklaar"", ""station_installation::SS Noordwolde"", ""station_installation::OS Zevenaar"", ""station_installation::OS Bergum"", ""station_installation::OS Texel"", ""station_installation::RS Waskemeer"", ""station_installation::RS Wamel"", ""station_installation::OS Drachten""]",static_gaussian,5348543.0,13257251.0,41599780.0,0.8826824426651001,71646592.0,9061769.0,42646656.0,6427,293,,
station_installation,15,"[""station_installation::OS Apeldoorn"", ""station_installation::RS Hallum"", ""station_installation::OS Almere"", ""station_installation::SS Stiens"", ""station_installation::OS Herbayum"", ""station_installation::OS Westhaven"", ""station_installation::OS Zevenhuizen"", ""station_installation::RS Anklaar"", ""station_installation::SS Noordwolde"", ""station_installation::OS Zevenaar"", ""station_installation::OS Bergum"", ""station_installation::OS Texel"", ""station_installation::RS Waskemeer"", ""station_installation::RS Wamel"", ""station_installation::OS Drachten""]",conditional_low_rank,5340423.0,13220620.0,41536624.0,0.9114672541618347,80262528.0,9050469.0,42589072.0,6427,293,2,-3.2505274393302965
station_installation,15,"[""station_installation::OS Apeldoorn"", ""station_installation::RS Hallum"", ""station_installation::OS Almere"", ""station_installation::SS Stiens"", ""station_installation::OS Herbayum"", ""station_installation::OS Westhaven"", ""station_installation::OS Zevenhuizen"", ""station_installation::RS Anklaar"", ""station_installation::SS Noordwolde"", ""station_installation::OS Zevenaar"", ""station_installation::OS Bergum"", ""station_installation::OS Texel"", ""station_installation::RS Waskemeer"", ""station_installation::RS Wamel"", ""station_installation::OS Drachten""]",set_aware_low_rank,5370834.5,13277474.0,41773160.0,0.8859499096870422,73881952.0,9052517.0,42584588.0,6427,293,2,-3.4251627899968367
